ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate
2026-02-23T17:55:38+00:00,0,,,30,76.069,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:39+00:00,0,,,30,76.065,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:40+00:00,0,,,30,76.016,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:41+00:00,0,,,30,76.061,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:42+00:00,0,,,30,76.032,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:43+00:00,0,,,30,76.038,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:44+00:00,0,,,30,76.082,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:45+00:00,0,,,30,76.067,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:46+00:00,0,,,30,76.018,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:47+00:00,0,,,30,76.056,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:48+00:00,0,,,30,76.087,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:49+00:00,0,,,30,76.046,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:50+00:00,0,,,30,76.08,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:51+00:00,0,,,30,76.086,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:52+00:00,0,,,30,76.062,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:53+00:00,0,,,30,76.035,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:54+00:00,0,,,30,76.066,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:55+00:00,0,,,30,76.014,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:56+00:00,0,,,30,76.027,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:57+00:00,0,,,30,76.093,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:58+00:00,0,,,30,75.957,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:59+00:00,0,,,30,76.019,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:00+00:00,0,,,30,75.999,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:01+00:00,0,,,30,76.129,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:02+00:00,0,,,30,76.049,700.0,0,0,345,3201,604.6875,143771.0,0
